Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Chris Paul,PG,26,LAC,11,11,38.5,6.4,14.9,.427,1.2,3.5,.333,5.2,11.4,.456,.466,3.7,4.3,.872,0.5,4.5,5.1,7.9,2.7,0.1,3.9,2.7,17.6,2012
Zach Randolph,PF,30,MEM,7,7,35.4,5.3,12.6,.420,0.0,0.6,.000,5.3,12.0,.440,.420,3.1,5.0,.629,3.9,6.0,9.9,0.9,1.0,0.6,1.6,3.6,13.7,2012
Rajon Rondo,PG,25,BOS,19,19,42.6,7.4,15.8,.468,0.4,1.6,.267,7.0,14.3,.491,.482,2.1,2.9,.696,1.8,4.9,6.7,11.9,2.4,0.1,3.8,2.1,17.3,2012
Jeff Teague,PG,23,ATL,6,6,37.5,5.0,12.2,.411,1.2,2.8,.412,3.8,9.3,.411,.459,2.8,3.2,.895,0.7,3.0,3.7,4.2,0.8,0.8,1.7,3.0,14.0,2012
Dwyane Wade,SG,30,MIA,23,23,39.4,8.6,18.5,.462,0.4,1.5,.294,8.1,17.0,.477,.474,5.3,7.2,.729,1.4,3.8,5.2,4.3,1.7,1.3,3.0,2.8,22.8,2012
Russell Westbrook,PG,23,OKC,20,20,38.4,8.9,20.4,.435,0.9,3.3,.277,8.0,17.1,.465,.457,4.5,5.6,.802,1.1,4.4,5.5,5.9,1.6,0.4,2.3,2.5,23.1,2012
Jimmy Butler,SF,23,CHI,12,12,40.8,4.2,9.6,.435,1.3,3.1,.405,2.9,6.5,.449,.500,3.8,4.6,.818,0.8,4.4,5.2,2.7,1.3,0.5,1.3,2.2,13.3,2013
Stephen Curry,PG,24,GSW,12,12,41.4,8.5,19.6,.434,3.5,8.8,.396,5.0,10.8,.465,.523,2.9,3.2,.921,0.4,3.4,3.8,8.1,1.7,0.2,3.3,2.9,23.4,2013
Kevin Durant,SF,24,OKC,11,11,44.1,10.2,22.4,.455,2.0,6.4,.314,8.2,16.0,.511,.500,8.5,10.2,.830,0.6,8.4,9.0,6.3,1.3,1.1,3.9,2.4,30.8,2013
Marc Gasol,C,28,MEM,15,15,40.6,6.2,13.7,.454,0.0,0.0,,6.2,13.7,.454,.454,4.8,6.0,.800,1.7,6.8,8.5,3.2,0.9,2.2,1.2,3.5,17.2,2013
Pau Gasol,PF,32,LAL,4,4,36.5,6.3,13.0,.481,0.0,0.0,,6.3,13.0,.481,.481,1.5,2.8,.545,1.8,9.8,11.5,6.5,0.5,0.8,3.3,1.0,14.0,2013
