Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Damian Lillard,PG,24,POR,5,201,15.0,.491,.323,.333,1.1,9.8,5.4,22.8,0.5,1.0,9.8,27.8,0.1,0.0,0.2,.038,1.9,-1.4,0.5,0.1,2015
Khris Middleton,SF,23,MIL,6,232,12.7,.482,.370,.163,2.9,7.5,5.0,9.6,3.1,1.2,9.2,21.0,0.0,0.2,0.2,.040,-0.2,0.9,0.7,0.1,2015
Paul Millsap,PF,29,ATL,16,566,16.4,.499,.234,.373,6.8,19.5,13.1,16.0,2.3,2.0,12.3,22.3,0.4,0.9,1.3,.108,0.2,1.2,1.4,0.5,2015
Tony Parker,PG,32,SAS,7,210,6.5,.386,.099,.187,2.0,10.0,5.8,18.9,0.5,0.0,10.0,23.4,-0.4,0.1,-0.3,-0.067,-5.0,-2.3,-7.4,-0.3,2015
Chris Paul,PG,29,LAC,12,445,25.7,.627,.344,.270,1.7,10.7,6.3,39.1,2.4,0.6,11.0,23.2,2.0,0.3,2.3,.248,7.2,1.5,8.7,1.2,2015
Zach Randolph,PF,33,MEM,11,382,13.3,.471,.030,.196,9.0,18.0,13.4,10.8,0.8,0.0,11.2,24.6,0.0,0.3,0.3,.036,-1.0,-1.5,-2.5,-0.1,2015
Jeff Teague,PG,26,ATL,16,529,17.8,.507,.272,.251,2.0,8.3,5.2,35.3,2.3,1.1,13.9,26.5,0.5,0.5,1.0,.094,2.2,-0.2,2.0,0.5,2015
Klay Thompson,SG,24,GSW,21,761,14.8,.553,.437,.135,1.3,10.2,5.8,12.1,1.1,2.0,10.4,23.3,0.9,1.0,1.9,.118,2.0,0.0,1.9,0.7,2015
John Wall,PG,24,WAS,7,273,19.2,.480,.155,.355,2.1,10.8,6.6,49.7,1.9,2.9,17.5,25.0,0.4,0.4,0.8,.138,2.6,1.8,4.4,0.4,2015
Deron Williams,PG,30,BRK,6,192,12.9,.493,.377,.101,1.7,19.2,10.4,28.6,2.1,0.0,18.2,21.0,0.0,0.2,0.2,.039,-1.3,0.0,-1.3,0.0,2015
LaMarcus Aldridge,PF,30,SAS,10,337,25.0,.579,.012,.272,8.0,19.7,14.2,5.4,0.6,3.3,5.5,27.7,1.0,0.5,1.6,.223,3.5,0.2,3.6,0.5,2016
Stephen Curry,PG,27,GSW,18,614,22.3,.603,.586,.246,2.5,14.8,8.7,26.8,2.1,0.7,16.7,32.1,1.3,0.7,1.9,.152,6.6,0.4,7.0,1.4,2016
DeMar DeRozan,SG,26,TOR,20,746,14.2,.462,.065,.309,2.0,12.0,6.7,14.7,1.6,0.4,9.1,30.9,-0.4,0.5,0.1,.009,0.2,-1.5,-1.3,0.1,2016
Goran Dragic,PG,29,MIA,14,472,15.1,.514,.223,.209,2.9,13.8,8.6,20.5,0.7,0.5,12.1,25.8,0.4,0.6,1.0,.099,0.0,-0.8,-0.7,0.1,2016
Kevin Durant,SF,27,OKC,18,726,20.3,.542,.270,.359,2.0,17.4,9.8,14.9,1.3,2.0,12.1,32.1,1.2,0.8,2.0,.130,4.3,-0.3,4.0,1.1,2016
Paul George,SF,25,IND,7,275,27.5,.632,.350,.520,4.0,17.1,11.1,22.5,2.8,1.5,13.2,30.5,1.1,0.5,1.6,.284,7.0,3.1,10.1,0.8,2016
Draymond Green,PF,25,GSW,23,879,18.6,.549,.377,.388,4.8,23.1,14.0,23.4,2.1,3.8,14.8,18.9,1.6,1.5,3.1,.171,2.6,3.2,5.7,1.7,2016
James Harden,SG,26,HOU,5,193,21.8,.555,.420,.450,3.6,11.0,7.1,41.4,3.0,0.4,17.8,31.1,0.3,0.1,0.4,.106,7.5,1.3,8.8,0.5,2016
Al Horford,C,29,ATL,10,327,17.5,.545,.241,.138,4.5,16.3,10.7,15.6,1.8,6.6,12.1,19.2,0.3,0.5,0.9,.127,0.9,2.8,3.7,0.5,2016
Dwight Howard,C,30,HOU,5,180,15.7,.510,.021,.792,14.4,27.4,20.5,8.2,1.1,3.4,15.6,17.5,0.0,0.1,0.2,.046,0.4,-0.9,-0.4,0.1,2016
Andre Iguodala,SF,32,GSW,24,767,13.8,.563,.396,.348,5.0,9.7,7.4,16.6,1.9,1.0,10.8,12.1,1.5,0.7,2.1,.133,1.2,1.8,3.0,1.0,2016
Kyrie Irving,PG,23,CLE,21,774,24.4,.574,.274,.208,2.3,7.1,4.7,23.5,2.5,1.6,9.4,30.4,2.6,0.8,3.4,.210,5.4,0.6,6.0,1.6,2016
LeBron James,SF,31,CLE,21,822,30.0,.585,.225,.297,6.1,22.4,14.4,36.6,3.2,3.2,13.7,30.7,3.2,1.5,4.7,.274,7.4,3.6,11.0,2.7,2016
Joe Johnson,SF,34,MIA,14,492,11.6,.504,.291,.152,1.8,13.5,7.9,11.6,0.9,0.5,9.6,18.1,0.3,0.6,0.9,.090,-1.1,-0.2,-1.3,0.1,2016
DeAndre Jordan,C,27,LAC,6,198,24.0,.547,.000,1.553,15.1,33.8,24.5,8.5,1.8,6.8,9.9,16.0,0.4,0.5,1.0,.231,2.7,2.6,5.3,0.4,2016
Kyle Korver,SG,34,ATL,10,316,12.3,.652,.720,.120,1.1,14.6,8.2,4.9,1.6,1.1,9.2,12.3,0.5,0.4,0.8,.122,-0.6,1.4,0.9,0.2,2016
Kawhi Leonard,SF,24,SAS,10,339,28.6,.597,.235,.307,5.1,15.7,10.7,14.7,4.0,3.2,7.8,28.1,1.1,0.8,1.9,.271,7.1,4.4,11.5,1.2,2016
Damian Lillard,PG,25,POR,11,437,19.8,.527,.442,.322,2.7,8.4,5.5,28.1,1.6,0.5,10.7,30.2,0.9,0.1,1.1,.118,5.7,-1.2,4.5,0.7,2016
Kevin Love,PF,27,CLE,20,613,17.9,.539,.464,.314,6.6,26.8,16.9,10.6,0.8,1.3,9.0,22.5,1.3,0.7,2.0,.157,3.1,-0.8,2.4,0.7,2016
Kyle Lowry,PG,29,TOR,20,766,16.6,.508,.418,.315,2.7,12.6,7.4,29.2,2.2,0.3,14.4,26.5,0.6,0.7,1.2,.077,2.5,0.0,2.5,0.9,2016
Paul Millsap,PF,30,ATL,10,365,17.6,.518,.241,.401,8.7,18.6,13.8,12.5,1.8,5.7,13.9,23.0,0.2,0.6,0.8,.109,0.5,1.5,2.1,0.4,2016
Tony Parker,PG,33,SAS,10,264,14.3,.499,.163,.143,0.5,8.7,4.8,31.4,1.2,0.6,14.7,21.5,0.2,0.3,0.4,.080,-0.4,-0.3,-0.7,0.1,2016
Jeff Teague,PG,27,ATL,10,279,14.9,.504,.298,.430,1.2,5.9,3.7,37.7,1.1,0.6,14.8,27.1,0.3,0.2,0.4,.071,0.0,-1.6,-1.5,0.0,2016
Klay Thompson,SG,25,GSW,24,849,19.5,.588,.510,.212,1.9,9.2,5.6,11.1,1.5,0.9,8.7,28.0,1.9,0.6,2.5,.143,4.6,-0.4,4.2,1.3,2016
Dwyane Wade,SG,34,MIA,14,473,22.3,.532,.091,.252,3.2,15.9,9.9,25.4,1.2,2.1,11.9,32.2,0.7,0.8,1.5,.148,4.2,0.7,4.9,0.8,2016
Kemba Walker,PG,25,CHO,7,260,18.2,.472,.281,.229,1.2,8.5,4.6,24.0,1.8,1.2,6.7,33.0,-0.1,0.2,0.1,.016,3.8,-0.4,3.4,0.4,2016
Russell Westbrook,PG,27,OKC,18,674,26.9,.515,.267,.356,6.9,13.5,10.3,52.4,3.4,0.2,14.6,34.3,2.0,0.9,2.9,.208,7.4,1.7,9.1,1.9,2016
